OBJECTID,StopId,StopAbbr,StopName,Bench,Shelter,Routes,County,Id2,TotalPop,County_1,TotMinority,PerMinorityState,PerMinorityCounty,PerMinorityBG,TotPoverty,PerPovState,PerPovCounty,PerPovBG,TotLEP,PerLEPBG,PerLEPCounty,PerLEPState,OriginalSqFt,Shape_Length,Shape_Area,SqFtBuffer,Est_TotPop_BuffArea,Est_TotMinority_BuffArea,Est_TotPov_BuffArea,Est_TotLEP_BuffArea,Est_TotPop_PostRemovedDupIntersects,Est_TotMinority_PostRemovedDupIntersects,Est_TotPov_PostRemovedDupIntersects,Est_TotLEP_PostRemovedDupIntersects
1,3273,GSKE,GOVERNORS AVE @ KESSELRING AVE,0,0,104,Kent County,1.0001E+11,2060,Kent,648,36.96,37.26,31.46,158,12.12,12.96,7.69,31,1.57,3.51,4.39,32646498.65,58.93349983,190.9163051,2054.997785,144,45,11,2,768,297,164,45
2,3972,WEAL,WEBBS LN OP ALDER RD,0,0,104,Kent County,1.0001E+11,1088,Kent,662,36.96,37.26,60.85,40,12.12,12.96,3.69,19,1.86,3.51,4.39,18252868.68,1914.566175,12411.26533,133593.2138,172,104,6,3,712,319,140,42
3,2720,WENA,WEBBS LN & NATH MITCHELL RD,0,0,104,Kent County,1.0001E+11,1088,Kent,662,36.96,37.26,60.85,40,12.12,12.96,3.69,19,1.86,3.51,4.39,18252868.68,191.1171449,1153.104796,12411.86708,133,81,5,2,693,300,135,39
4,2740,GOGU,GOVERNORS AVE & GUNNING BEDFD DR,0,0,104,Kent County,1.0001E+11,2060,Kent,648,36.96,37.26,31.46,158,12.12,12.96,7.69,31,1.57,3.51,4.39,32646498.65,112.9552781,292.3650423,3146.978537,167,52,13,3,367,165,30,9
5,3984,RVSC,RODNEY VILLAGE SHOPPING CENTER,0,0,104,Kent County,1.0001E+11,2060,Kent,648,36.96,37.26,31.46,158,12.12,12.96,7.69,31,1.57,3.51,4.39,32646498.65,499.1060157,9298.5299,100088.1425,122,38,9,2,321,156,17,5
6,3984,RVSC,RODNEY VILLAGE SHOPPING CENTER,0,0,104,Kent County,1.0001E+11,1088,Kent,662,36.96,37.26,60.85,40,12.12,12.96,3.69,19,1.86,3.51,4.39,18252868.68,280.4893831,3287.923584,35390.77335,188,115,7,3,321,156,17,5
7,2998,13SK,US RT 13 & OP SHAMROCK AVE,0,0,104,Kent County,1.0001E+11,1554,Kent,356,36.96,37.26,22.91,168,12.12,12.96,10.81,8,0.57,3.51,4.39,52698616.1,747.9136405,18593.67849,200139.8891,84,19,9,0,250,71,22,3
8,2998,13SK,US RT 13 & OP SHAMROCK AVE,0,0,104,Kent County,1.0001E+11,2060,Kent,648,36.96,37.26,31.46,158,12.12,12.96,7.69,31,1.57,3.51,4.39,32646498.65,433.2145278,3608.037212,38836.43398,166,52,13,3,250,71,22,3
9,2743,CAMA,CAMDEN-WYMING AV & MAIN ST,0,0,104,Kent County,1.0001E+11,4543,Kent,1662,36.96,37.26,36.58,253,12.12,12.96,5.57,96,2.18,3.51,4.39,62940943.09,1499.486814,107559.9898,1157761.464,356,130,20,8,385,141,24,9
10,2745,NOCA,OLD NORTH RD & CAESAR ROD HS,0,0,104,Kent County,1.0001E+11,1554,Kent,356,36.96,37.26,22.91,168,12.12,12.96,10.81,8,0.57,3.51,4.39,52698616.1,993.4358232,44556.64663,479601.8343,87,20,9,0,268,86,19,4
11,2745,NOCA,OLD NORTH RD & CAESAR ROD HS,0,0,104,Kent County,1.0001E+11,4543,Kent,1662,36.96,37.26,36.58,253,12.12,12.96,5.57,96,2.18,3.51,4.39,62940943.09,401.0236814,7235.409181,77880.98473,181,66,10,4,268,86,19,4
