OBJECTID,ORIG_FID,LineName,LineNum,Shape_Length,InLine_FID,SimLnFlag,MaxSimpTol,MinSimpTol,LengthFt,RtConstruction,CantStop,TransferPoint,UniqueNum,MPH,Lat,Long,CorrespondingID
1,22,,,0,,,,,,Complete,Yes,No,1,25,39.57530212,-75.65751648,
2,22,,,0,,,,,,Complete,Yes,No,2,25,39.57536697,-75.65717316,
3,22,,,0,,,,,,Complete,Yes,No,3,25,39.57542801,-75.6568222,
4,22,,,0,,,,,,Complete,Yes,No,4,35,39.5755043,-75.65648651,
5,22,,,0,,,,,,Complete,Yes,No,5,35,39.57574081,-75.65648651,
6,22,,,0,,,,,,Complete,No,No,6,35,39.57601166,-75.65655518,
7,22,,,0,,,,,,Complete,No,No,7,35,39.57627869,-75.65662384,
8,22,,,0,,,,,,Complete,No,No,8,35,39.57654953,-75.6566925,
9,22,,,0,,,,,,Complete,No,No,9,35,39.57682037,-75.65676117,
10,22,,,0,,,,,,Complete,Yes,No,10,35,39.5770874,-75.65682983,
11,22,,,0,,,,,,Complete,Yes,No,11,35,39.57735825,-75.65690613,
12,22,,,0,,,,,,Complete,No,No,12,35,39.57762527,-75.65697479,
13,22,,,0,,,,,,Complete,No,No,13,35,39.57789612,-75.65704346,
14,22,,,0,,,,,,Complete,No,No,14,35,39.57816315,-75.65711212,
15,22,,,0,,,,,,Complete,No,No,15,35,39.57843399,-75.65718079,
16,22,,,0,,,,,,Complete,Yes,No,16,35,39.57870102,-75.65725708,
17,22,,,0,,,,,,Complete,Yes,No,17,35,39.57897186,-75.65732574,
18,22,,,0,,,,,,Complete,Yes,No,18,35,39.57924271,-75.65739441,
19,22,,,0,,,,,,Complete,Yes,No,19,35,39.57947159,-75.65750122,
20,22,,,0,,,,,,Complete,Yes,No,20,50,39.57950592,-75.65785217,
21,22,,,0,,,,,,Complete,Yes,No,21,50,39.57956696,-75.6581955,
22,22,,,0,,,,,,Complete,Yes,No,22,50,39.57960892,-75.65854645,
23,22,,,0,,,,,,Complete,Yes,No,23,50,39.57965851,-75.6588974,
24,22,,,0,,,,,,Complete,Yes,No,24,50,39.57971954,-75.65924072,
25,22,,,0,,,,,,Complete,Yes,No,25,50,39.57979965,-75.65957642,
26,22,,,0,,,,,,Complete,Yes,No,26,50,39.57987976,-75.65991974,
27,22,,,0,,,,,,Complete,Yes,No,27,25,39.57995987,-75.66025543,
28,22,,,0,,,,,,Complete,Yes,No,28,25,39.58016586,-75.66048431,
29,22,,,0,,,,,,Complete,Yes,No,29,25,39.58041763,-75.66062164,
30,22,,,0,,,,,,Complete,Yes,No,30,25,39.58068848,-75.66067505,
31,22,,,0,,,,,,Complete,Yes,No,31,25,39.58095932,-75.66073608,
32,22,,,0,,,,,,Complete,Yes,No,32,25,39.58122635,-75.66081238,
33,22,,,0,,,,,,Complete,Yes,No,33,25,39.58148956,-75.66091156,
34,22,,,0,,,,,,Complete,Yes,No,34,25,39.58175278,-75.66101074,
35,22,,,0,,,,,,Complete,Yes,No,35,25,39.58201981,-75.66110992,
36,22,,,0,,,,,,Complete,Yes,No,36,25,39.58228302,-75.66120911,
