DAY_OF_WEEK,StopID,IndividRoute,IndvRtOn,IndvRtOff,IndvTripCount,IndividUtilization,NumberOfRoutes,AllRtOn,AllRtOff,AllTripCount,AllUtilization
WEEKDAY,60,2,124.42,81.78,88,2.343188649,16,819.9,693.12,604,2.505
WEEKDAY,63,2,1.92,26.78,44,0.65234147,2,2.29,30.07,57,0.567719298
WEEKDAY,64,2,32.32,56.96,88,1.014552595,2,33.28,57.29,98,0.924183673
WEEKDAY,65,2,3.09,68.08,44,1.617456794,1,3.09,68.08,44,1.6175
WEEKDAY,67,2,75.71,59.54,88,1.536975278,3,99.53,77.53,133,1.331278195
WEEKDAY,69,2,69.14,5.89,44,1.705209298,1,69.14,5.89,44,1.705227273
WEEKDAY,70,2,18.8,1.5,44,0.461324222,2,20.46,1.69,57,0.388596491
WEEKDAY,71,2,22.25,2.2,44,0.555721975,3,34.49,3.14,82,0.458902439
WEEKDAY,72,2,70.65,5.86,44,1.738846881,19,442.33,376.64,463,1.768833693
WEEKDAY,102,2,54.19,5.27,44,1.35129314,9,177.55,104.37,219,1.287305936
WEEKDAY,256,2,14.19,26.58,44,0.926572406,4,18.58,43.31,104,0.595096154
WEEKDAY,257,2,1.61,5.66,44,0.165194727,2,1.75,6.39,57,0.142807018
WEEKDAY,262,2,11.99,3.39,44,0.349417665,2,14.3,7.63,57,0.384736842
WEEKDAY,264,2,8.15,12.13,44,0.460963971,4,13.92,14.53,99,0.287373737
WEEKDAY,675,2,6.04,53.89,44,1.362060024,12,565.93,325.88,402,2.218432836
WEEKDAY,835,2,2.91,0.44,44,0.076204929,16,63.28,167.15,400,0.576075
WEEKDAY,839,2,24.86,3.65,44,0.648100624,10,88.54,45.79,221,0.607828054
WEEKDAY,841,2,22.02,11.83,44,0.769351988,5,76.36,23.67,139,0.719640288
WEEKDAY,842,2,4.09,6.06,44,0.23070459,4,5.75,11.95,111,0.159459459
WEEKDAY,843,2,25.98,21.82,44,1.086445382,3,35.05,32.41,85,0.793647059
WEEKDAY,845,2,1.75,5.38,44,0.162185897,3,2.21,7.5,85,0.114235294
WEEKDAY,847,2,1.35,1.05,44,0.054441851,4,1.72,1.96,104,0.035384615
WEEKDAY,848,2,2.35,3.6,44,0.135189714,4,2.72,6.8,104,0.091538462
WEEKDAY,849,2,61.15,40.26,44,2.304873946,4,78.5,66.94,104,1.398461538
WEEKDAY,853,2,4.21,16.43,44,0.468943025,2,5.49,19.31,57,0.435087719
WEEKDAY,854,2,3.52,20.83,44,0.553359292,2,3.95,23.17,57,0.475789474
WEEKDAY,855,2,1.09,10.35,44,0.260171049,2,1.3,11.74,57,0.22877193
WEEKDAY,856,2,3.78,12.19,44,0.363078019,2,3.97,14.79,57,0.329122807
WEEKDAY,857,2,0.68,6.82,44,0.170352483,2,0.71,8,57,0.152807018
WEEKDAY,858,2,2.7,15.28,44,0.408640019,2,3.07,16.71,57,0.347017544
WEEKDAY,859,2,0.91,8.72,44,0.21891443,2,1.63,9.59,57,0.196842105
WEEKDAY,860,2,0.66,6.93,44,0.172661988,2,0.83,7.7,57,0.149649123
WEEKDAY,861,2,0.28,5.12,44,0.122603123,2,0.28,5.77,57,0.106140351
WEEKDAY,862,2,0.62,9.5,44,0.229983507,2,0.68,11.7,57,0.217192982
WEEKDAY,863,2,1.24,13.83,44,0.342599438,2,1.38,17.61,57,0.333157895
WEEKDAY,864,2,3.85,26,44,0.678307798,1,3.85,26,44,0.678409091
WEEKDAY,865,2,2.82,16.91,44,0.448272276,1,2.82,16.91,44,0.448409091
WEEKDAY,866,2,0.41,32.2,44,0.74122522,1,0.41,32.2,44,0.741136364
WEEKDAY,867,2,95.59,80.38,88,1.999669006,2,102.2,80.78,98,1.867142857
WEEKDAY,869,2,0.34,13.61,44,0.316935805,2,0.54,13.67,54,0.263148148
WEEKDAY,870,2,1.56,21.29,44,0.519359805,1,1.56,21.29,44,0.519318182
WEEKDAY,871,2,0.12,4.52,44,0.105417942,3,0.12,4.85,60,0.082833333
WEEKDAY,872,2,0.77,0.03,44,0.018074839,3,1.43,0.03,60,0.024333333
WEEKDAY,874,2,10.08,1.8,44,0.269936974,2,10.08,1.93,53,0.226603774
WEEKDAY,876,2,26.52,0.98,44,0.625147803,1,26.52,0.98,44,0.625
WEEKDAY,877,2,13.17,1.93,44,0.343102396,1,13.17,1.93,44,0.343181818
WEEKDAY,878,2,10.81,1.81,44,0.286725194,1,10.81,1.81,44,0.286818182
WEEKDAY,879,2,23.51,1.57,44,0.570066755,2,27.11,1.88,57,0.508596491
WEEKDAY,880,2,3.45,1.28,44,0.107582826,2,3.83,1.33,57,0.090526316
WEEKDAY,881,2,8.9,0.66,44,0.217117017,2,10.11,0.75,57,0.190526316
WEEKDAY,882,2,1,0.58,44,0.035713483,2,1.05,0.63,57,0.029473684
WEEKDAY,883,2,7.7,1.3,44,0.204684093,2,9.34,1.58,57,0.191578947
WEEKDAY,884,2,9.21,2,44,0.25455793,2,10.04,2.18,57,0.214385965
WEEKDAY,885,2,5.92,0.68,44,0.149831267,2,7.13,0.83,57,0.139649123
WEEKDAY,886,2,20.62,3.82,44,0.5556381,2,23.19,4.07,57,0.478245614
WEEKDAY,887,2,18.05,2.52,44,0.467508657,2,21.01,2.8,57,0.417719298
WEEKDAY,890,2,3.34,0.63,44,0.090247941,2,3.69,1.15,57,0.084912281
WEEKDAY,891,2,33.66,66.35,44,2.272917651,4,63.43,80.47,99,1.453535354
WEEKDAY,892,2,1.64,1.91,44,0.080710896,4,5.37,2.7,99,0.081515152
WEEKDAY,893,2,0.87,1.57,44,0.055538479,4,2.13,2.79,99,0.04969697
WEEKDAY,895,2,3.44,1.97,44,0.122998508,3,5.81,2.53,82,0.101707317
WEEKDAY,897,2,12.54,26.8,44,0.893955563,3,26.08,36.52,82,0.763414634
WEEKDAY,898,2,3.02,1.68,44,0.106763583,4,5.67,2.65,107,0.077757009
WEEKDAY,899,2,12.98,17.18,44,0.685454465,5,32.65,52.99,136,0.629705882
WEEKDAY,901,2,2.56,38.92,44,0.942695605,5,12.1,77.86,136,0.661470588
WEEKDAY,903,2,8.96,161.34,44,3.870602262,5,536.2,862.83,222,6.301936937
WEEKDAY,3218,2,9.06,8.12,44,0.390483878,5,30.44,16.48,139,0.337553957
WEEKDAY,3462,2,1.44,47.49,44,1.112060907,3,2.15,56.91,60,0.984333333
WEEKDAY,3463,2,35.29,0.65,44,0.817015228,3,39.63,0.79,60,0.673666667
WEEKDAY,3851,2,194.84,27.18,44,5.045833459,9,597.59,266.86,214,4.039485981
WEEKDAY,3861,2,6.96,111.43,44,2.690492951,5,30.68,365.07,142,2.786971831
WEEKDAY,3926,2,2.69,16.57,44,0.437862158,5,6.9,38.37,136,0.332867647
WEEKDAY,3970,2,71.08,9.38,44,1.828728249,5,176.15,30.11,143,1.442377622
WEEKDAY,1,4,25.22,118.92,49,2.941644536,4,36.71,210.51,128,1.93140625
WEEKDAY,2,4,30,197.94,49,4.651951599,4,42.46,365.19,128,3.184765625
WEEKDAY,4,4,196.77,187.46,49,7.841423583,8,453.62,330.52,184,4.261630435
WEEKDAY,76,4,8.93,46.59,49,1.133148408,2,12.58,57.81,76,0.926184211
WEEKDAY,81,4,46.4,9.41,50,1.116184201,2,61.15,11.22,75,0.964933333
WEEKDAY,84,4,103.7,66.94,48,3.554901297,3,166.55,118.83,112,2.548035714
WEEKDAY,85,4,5.1,34.12,48,0.816953952,1,5.1,34.12,48,0.817083333
WEEKDAY,86,4,12.71,14.36,99,0.273409681,1,12.71,14.36,99,0.273434343
WEEKDAY,88,4,138.9,128.48,99,2.700781748,2,172.56,161.09,142,2.349647887
WEEKDAY,90,4,106.25,61.93,51,3.297692639,3,183.98,202.73,116,3.333706897
WEEKDAY,241,4,56.1,20.87,51,1.509085131,2,63.42,23.48,68,1.277941176
WEEKDAY,242,4,0.31,6.16,49,0.132019361,1,0.31,6.16,49,0.132040816
WEEKDAY,243,4,10.56,42.81,49,1.089157529,1,10.56,42.81,49,1.089183673
WEEKDAY,244,4,48.19,29.83,99,0.788167987,1,48.19,29.83,99,0.788080808
WEEKDAY,245,4,56.58,2.78,50,1.187200377,1,56.58,2.78,50,1.1872
WEEKDAY,246,4,5.43,0.72,50,0.123011906,1,5.43,0.72,50,0.123
WEEKDAY,675,4,120.33,34.22,48,3.219962883,12,565.93,325.88,402,2.218432836
WEEKDAY,903,4,236.28,221.51,50,9.155827802,5,536.2,862.83,222,6.301936937
WEEKDAY,922,4,9.08,39.13,49,0.983948289,2,10.77,50.19,76,0.802105263
WEEKDAY,925,4,2.31,7.93,49,0.209056097,2,2.81,10,76,0.168552632
WEEKDAY,927,4,0.45,4.62,49,0.103393948,2,0.6,7.05,76,0.100657895
WEEKDAY,934,4,13.42,1.4,50,0.296320051,2,17.31,2.2,75,0.260133333
WEEKDAY,936,4,1.73,0.67,50,0.047956972,2,2.94,0.96,75,0.052
WEEKDAY,937,4,8.48,3.47,50,0.238942715,2,11.29,5.53,75,0.224266667
WEEKDAY,938,4,49.9,5.38,50,1.105525642,2,67.69,6.15,75,0.984533333
WEEKDAY,950,4,62.9,11.6,48,1.552078076,3,119.46,17.71,112,1.224732143
WEEKDAY,951,4,27.57,13.63,48,0.858304171,3,49.74,25.1,112,0.668214286
WEEKDAY,954,4,58.58,44.95,48,2.156812858,2,66.1,50.6,67,1.741791045
WEEKDAY,956,4,22.76,43.04,48,1.37092892,2,25.14,45.52,67,1.054626866
WEEKDAY,957,4,16.53,59,48,1.573565716,2,20.87,64.89,67,1.28
WEEKDAY,958,4,11.89,59,48,1.476727994,2,16.16,70.1,67,1.287462687
WEEKDAY,960,4,10.1,65.19,48,1.568607806,1,10.1,65.19,48,1.568541667
WEEKDAY,966,4,16.52,171.52,48,3.917671623,2,24.77,182.5,69,3.003913043
WEEKDAY,968,4,2.43,17.51,48,0.415397927,1,2.43,17.51,48,0.415416667
WEEKDAY,969,4,0.73,6.1,48,0.142186604,1,0.73,6.1,48,0.142291667
WEEKDAY,970,4,7.08,17.49,48,0.512010007,1,7.08,17.49,48,0.511875
WEEKDAY,971,4,3.81,22.02,48,0.538061353,1,3.81,22.02,48,0.538125
WEEKDAY,973,4,7.49,19.47,48,0.561700978,1,7.49,19.47,48,0.561666667
WEEKDAY,975,4,0.56,1.12,48,0.035076809,2,0.87,5.43,62,0.101612903
WEEKDAY,976,4,0.07,3.07,48,0.065323805,2,0.9,3.39,62,0.069193548
WEEKDAY,977,4,0.08,2.59,48,0.055584613,2,0.26,2.63,62,0.046612903
WEEKDAY,980,4,11.41,2.92,51,0.28106725,2,12.36,5.14,66,0.265151515
WEEKDAY,981,4,1.2,0.12,51,0.025946455,2,1.37,0.17,66,0.023333333
WEEKDAY,982,4,2.42,0.2,51,0.051306253,2,3.24,0.2,66,0.052121212
WEEKDAY,983,4,0.69,0.23,51,0.01797652,2,2.39,0.28,66,0.040454545
WEEKDAY,984,4,28.42,6.71,51,0.688742784,1,28.42,6.71,51,0.688823529
WEEKDAY,986,4,30.36,6.21,51,0.716953534,1,30.36,6.21,51,0.717058824
WEEKDAY,987,4,1.77,0.94,51,0.053287742,1,1.77,0.94,51,0.053137255
WEEKDAY,988,4,3.26,1.67,51,0.096643097,1,3.26,1.67,51,0.096666667
WEEKDAY,989,4,15.56,4.56,51,0.394604972,2,22.33,6.36,73,0.393013699
WEEKDAY,990,4,167.88,14.77,51,3.581292259,2,210.24,23.98,73,3.208493151
WEEKDAY,995,4,76.45,18.9,51,1.869658699,1,76.45,18.9,51,1.869607843
WEEKDAY,997,4,38.13,14.36,51,1.02918331,2,46.07,16.89,68,0.925882353
WEEKDAY,1000,4,29.84,22.2,51,1.020322367,2,32.83,24.17,68,0.838235294
WEEKDAY,1002,4,64.37,31.37,51,1.877311047,2,72.19,34.85,68,1.574117647
WEEKDAY,1003,4,13.52,40.22,51,1.053620895,2,15.32,43.06,68,0.858529412
WEEKDAY,1006,4,14.07,32.91,49,0.958623231,3,24.39,64.09,114,0.776140351
WEEKDAY,1300,4,9.89,34.18,48,0.918043917,1,9.89,34.18,48,0.918125
WEEKDAY,1302,4,2.39,9.89,48,0.255778476,1,2.39,9.89,48,0.255833333
WEEKDAY,1303,4,4.47,63.66,48,1.419224885,1,4.47,63.66,48,1.419375
WEEKDAY,1304,4,53.25,5.34,51,1.148714991,1,53.25,5.34,51,1.148823529
WEEKDAY,2203,4,3.82,10.09,49,0.283911518,1,3.82,10.09,49,0.283877551
WEEKDAY,2204,4,3.11,6.59,49,0.198050249,1,3.11,6.59,49,0.197959184
WEEKDAY,2205,4,6.83,20.14,49,0.550421121,1,6.83,20.14,49,0.550408163
WEEKDAY,2206,4,2.38,14.34,49,0.341214624,1,2.38,14.34,49,0.34122449
WEEKDAY,2207,4,0.83,7.82,49,0.176497216,1,0.83,7.82,49,0.176530612
WEEKDAY,2208,4,7.9,61.11,49,1.408534196,1,7.9,61.11,49,1.408367347
WEEKDAY,2209,4,1.82,14.06,49,0.324221772,1,1.82,14.06,49,0.324081633
WEEKDAY,2210,4,3,25.24,49,0.576370259,1,3,25.24,49,0.576326531
WEEKDAY,2211,4,4.86,15.3,49,0.411335789,1,4.86,15.3,49,0.411428571
WEEKDAY,2212,4,0.56,12.2,49,0.260494234,1,0.56,12.2,49,0.260408163
WEEKDAY,2214,4,0.29,1.78,49,0.042228239,1,0.29,1.78,49,0.042244898
WEEKDAY,2215,4,0.13,4.95,49,0.10365151,1,0.13,4.95,49,0.103673469
WEEKDAY,2216,4,1.75,31.25,49,0.6733371,1,1.75,31.25,49,0.673469388
WEEKDAY,2218,4,0.49,33.94,49,0.702818195,1,0.49,33.94,49,0.702653061
WEEKDAY,2219,4,0.64,6.4,49,0.143810121,1,0.64,6.4,49,0.143673469
WEEKDAY,2220,4,0.22,0.81,49,0.021051674,1,0.22,0.81,49,0.021020408
WEEKDAY,2221,4,0.53,2.43,49,0.060427125,1,0.53,2.43,49,0.060408163
WEEKDAY,2222,4,0.07,1.1,49,0.023721549,1,0.07,1.1,49,0.023877551
WEEKDAY,2224,4,0.11,1.12,49,0.025162268,1,0.11,1.12,49,0.025102041
WEEKDAY,2226,4,0.06,0.28,49,0.00707096,1,0.06,0.28,49,0.006938776
WEEKDAY,2227,4,1.24,25.96,49,0.555207515,1,1.24,25.96,49,0.555102041
WEEKDAY,2229,4,0.17,5.62,49,0.118195824,1,0.17,5.62,49,0.118163265
